title	link	guid	category	description	pubDate
Dharwad District, Karnataka	http://dharwad.nic.in	http://dharwad.nic.in	Departments	Dharwad District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
National Assessment and Accrediation Council	http://www.naac.gov.in	http://www.naac.gov.in	Departments	National Assessment and Accrediation Council	Tue, 10 Oct 2000 12:00:00 +0530
Department Of Finance	http://finance.kar.nic.in	http://finance.kar.nic.in	Departments	Department Of Finance	Tue, 10 Jul 2001 12:00:00 +0530
Central Power Research Institute  (CPRI), Bangalore, Karnataka	http://cpri.in	http://cpri.in	Departments	Central Power Research Institute  (CPRI), Bangalore, Karnataka	Fri, 14 Dec 2001 12:00:00 +0530
Kendriya Vidyalaya Sangathan (KVS), Bangalore Region	http://www.kvsrobangalore.org	http://www.kvsrobangalore.org	Departments	Kendriya Vidyalaya Sangathan (KVS), Bangalore Region	Wed, 14 Mar 2007 12:00:00 +0530
Department of Public Administration and Reforms	http://janaspandana.kar.nic.in	http://janaspandana.kar.nic.in	Departments	Department of Public Administration and Reforms	Mon, 01 Feb 2010 12:00:00 +0530
Indian Space Research Organisation (ISRO)	http://www.isro.gov.in	http://www.isro.gov.in	Departments	Indian Space Research Organisation (ISRO)	Fri, 25 Feb 2000 12:00:00 +0530
Visvesvaraya Industrial and Technological Museum, Bangalore	http://www.vismuseum.gov.in	http://www.vismuseum.gov.in	Departments	Visvesvaraya Industrial and Technological Museum, Bangalore is one of the units of National Council of Science Museums an autonomous organisation under the Ministry of Culture, Government of India.	Tue, 10 Jul 2001 12:00:00 +0530
Railway Recruitment Board (RRB), Bangalore  	http://www.rrbbnc.gov.in	http://www.rrbbnc.gov.in	Departments	Railway Recruitment Board (RRB), Bangalore  	Fri, 14 Dec 2001 12:00:00 +0530
Udupi District, Karnataka	http://udupi.nic.in	http://udupi.nic.in	Departments	Udupi District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Chitradurga District, Karnataka	http://chitradurga.nic.in	http://chitradurga.nic.in	Departments	Chitradurga District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
HMT Limited	http://www.hmtindia.com	http://www.hmtindia.com	Departments	HMT Limited	Fri, 03 Sep 2004 12:00:00 +0530
Chief Electoral Officer (CEO), Karnataka	http://ceokarnataka.kar.nic.in	http://ceokarnataka.kar.nic.in	Departments	Chief Electoral Officer (CEO), Karnataka	Mon, 19 Apr 2004 12:00:00 +0530
Central Silk Board	http://csb.gov.in	http://csb.gov.in	Departments	Central Silk Board	Thu, 14 Dec 2000 12:00:00 +0530
Mangalore Customs	http://customsmangalore.gov.in	http://customsmangalore.gov.in	Departments	Mangalore Customs	Mon, 12 Mar 2001 12:00:00 +0530
Uttar Kannada District, Karnataka	http://uttarakannada.nic.in	http://uttarakannada.nic.in	Departments	Uttar Kannada District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Ramanagara District, Karnataka	http://ramanagara.nic.in	http://ramanagara.nic.in	Departments	Ramanagara District, Karnataka	Fri, 03 Apr 2015 12:00:00 +0530
Infrastructure Development Department, Karnataka	http://www.iddkarnataka.gov.in	http://www.iddkarnataka.gov.in	Departments	Infrastructure Development Department, Karnataka	Thu, 19 Aug 2010 12:00:00 +0530
Department of Parliamentary Affairs and Legislation	http://dpal.kar.nic.in	http://dpal.kar.nic.in	Departments	Government of Karnataka	Sat, 16 Jan 2010 12:00:00 +0530
Bangalore Customs	http://bangalorecustoms.gov.in	http://bangalorecustoms.gov.in	Departments	Bangalore Customs	Tue, 10 Jul 2001 12:00:00 +0530
Central Excise, Mysore	http://www.centralexcisemysore.gov.in	http://www.centralexcisemysore.gov.in	Departments	Central Excise, Mysore	Fri, 10 Feb 2006 12:00:00 +0530
Bharat Earth Movers Limited (BEML)	http://www.bemlindia.nic.in	http://www.bemlindia.nic.in	Departments	Bharat Earth Movers Limited (BEML)	Mon, 02 Jun 2003 12:00:00 +0530
Health and Family Welfare Department, Karnataka	http://karhfw.gov.in	http://karhfw.gov.in	Departments	Health and Family Welfare Department, Karnataka	Mon, 26 Aug 2013 12:00:00 +0530
Telecom Quality Assurance Circle	http://www.qa.bsnl.co.in	http://www.qa.bsnl.co.in	Departments	Telecom Quality Assurance Circle	Tue, 09 Jul 2002 12:00:00 +0530
Belgaum District, Karnataka	http://belgaum.nic.in	http://belgaum.nic.in	Departments	Belgaum District, Karnataka	Mon, 24 Jul 2006 12:00:00 +0530
Mandya District, Karnataka	http://mandya.nic.in	http://mandya.nic.in	Departments	Mandya District, Karnataka	Wed, 15 Apr 2009 12:00:00 +0530
Kerala State Women's Commission	http://keralawomenscommission.gov.in	http://keralawomenscommission.gov.in	Apex Bodies	Kerala State Women&#039;s Commission	Sat, 02 Oct 2010 12:00:00 +0530
Vigilance and Anti - Corruption Bureau	https://vigilance.kerala.gov.in	https://vigilance.kerala.gov.in	Directorates / Commissionerates	Vigilance and Anti - Corruption Bureau	Mon, 16 Apr 2007 12:00:00 +0530
Legal Metrology Department, Kerala	http://lmd.kerala.gov.in	http://lmd.kerala.gov.in	Directorates / Commissionerates	Legal Metrology Department, Kerala	Thu, 25 Nov 2010 12:00:00 +0530
Directorates of Factories and Boilers, Kerala 	http://www.fabkerala.gov.in	http://www.fabkerala.gov.in	Directorates / Commissionerates	Directorates of Factories and Boilers, Kerala 	Wed, 11 Jul 2007 12:00:00 +0530
Directorate of coir development, Kerala	http://www.coir.kerala.gov.in	http://www.coir.kerala.gov.in	Directorates / Commissionerates	Directorate of coir development, Kerala	Thu, 25 Nov 2010 12:00:00 +0530
Commissionerate of Rural Development	http://www.crd.kerala.gov.in	http://www.crd.kerala.gov.in	Directorates / Commissionerates	Commissionerate of Rural Development	Mon, 03 Mar 2008 12:00:00 +0530
Directorate of Vocational Higher Secondary Education	http://www.vhse.kerala.gov.in	http://www.vhse.kerala.gov.in	Directorates / Commissionerates	Directorate of Vocational Higher Secondary Education	Mon, 03 Mar 2008 12:00:00 +0530
Directorate of Radiation Safety, Kerala	http://www.drs.kerala.gov.in	http://www.drs.kerala.gov.in	Directorates / Commissionerates	Directorate of Radiation Safety, Kerala	Thu, 25 Nov 2010 12:00:00 +0530
Stationery Department, Kerala	http://www.stationery.kerala.gov.in	http://www.stationery.kerala.gov.in	Directorates / Commissionerates	Stationery Department, Kerala	Wed, 03 Feb 2016 12:00:00 +0530
Industrial Training Department, Kerala	http://www.det.kerala.gov.in	http://www.det.kerala.gov.in	Directorates / Commissionerates	Industrial Training Department, Kerala	Wed, 03 Feb 2016 12:00:00 +0530
Directorate of Health Services, Kerala	http://www.dhs.kerala.gov.in	http://www.dhs.kerala.gov.in	Directorates / Commissionerates	Directorate of Health Services, Kerala	Thu, 25 Nov 2010 12:00:00 +0530
Indian Systems of Medicine Department, Govt. of Kerala	http://www.ism.kerala.gov.in	http://www.ism.kerala.gov.in	Directorates / Commissionerates	Indian Systems of Medicine Department, Govt. of Kerala	Wed, 27 Jan 2016 12:00:00 +0530
Mining and Geology Department, Kerala	http://dmg.kerala.gov.in	http://dmg.kerala.gov.in	Directorates / Commissionerates	Mining and Geology Department, Kerala	Sat, 01 Mar 2008 12:00:00 +0530
Kerala Prisons	http://www.keralaprisons.gov.in	http://www.keralaprisons.gov.in	Directorates / Commissionerates	Kerala Prisons	Mon, 22 Nov 2010 12:00:00 +0530
Directorate of Culture, Kerala	http://culturedirectorate.kerala.gov.in	http://culturedirectorate.kerala.gov.in	Directorates / Commissionerates	Directorate of Culture, Kerala	Tue, 19 Apr 2016 12:00:00 +0530
Higher Secondary Admission Process(HSCAP), DHSE, Government of Kerala	http://hscap.kerala.gov.in	http://hscap.kerala.gov.in	Directorates / Commissionerates	Higher Secondary Admission Process(HSCAP), DHSE, Government of Kerala	Thu, 06 Mar 2008 12:00:00 +0530
Higher Secondary Education	http://dhsekerala.gov.in	http://dhsekerala.gov.in	Directorates / Commissionerates	Higher Secondary Education	Thu, 06 Mar 2008 12:00:00 +0530
Kerala State Remote Sensing and Environment Centre	http://ksrec.kerala.gov.in	http://ksrec.kerala.gov.in	Directorates / Commissionerates	Kerala State Remote Sensing and Environment Centre	Mon, 12 Oct 2015 12:00:00 +0530
Housing Commissionerate	http://www.hsgcomr.kerala.gov.in	http://www.hsgcomr.kerala.gov.in	Directorates / Commissionerates	Housing Commissionerate	Mon, 03 Mar 2008 12:00:00 +0530
Directorate of Backward Communities Development, Kerala	http://www.bcdd.kerala.gov.in	http://www.bcdd.kerala.gov.in	Directorates / Commissionerates	Directorate of Backward Communities Development, Kerala	Mon, 12 Oct 2015 12:00:00 +0530
State Water Transport Department, Kerala	http://swtd.kerala.gov.in	http://swtd.kerala.gov.in	Directorates / Commissionerates	State Water Transport Department, Kerala	Sat, 20 Nov 2010 12:00:00 +0530
Directorate of Handlooms and Textiles, Kerala	http://www.handloom.kerala.gov.in	http://www.handloom.kerala.gov.in	Directorates / Commissionerates	Directorate of Handlooms and Textiles, Kerala	Mon, 12 Oct 2015 12:00:00 +0530
Kerala Institute for Research Training  and  Development Studies of Scheduled Caste  and  Scheduled Tribes	http://www.kirtads.kerala.gov.in	http://www.kirtads.kerala.gov.in	Directorates / Commissionerates	Kerala Institute for Research Training &amp; Development Studies of Scheduled Caste &amp; Scheduled Tribes	Mon, 12 Oct 2015 12:00:00 +0530
Minority Welfare, Kerala	http://minoritywelfare.kerala.gov.in	http://minoritywelfare.kerala.gov.in	Directorates / Commissionerates	Minority Welfare, Kerala	Mon, 12 Oct 2015 12:00:00 +0530
Labour Commissionerate, Kerala	http://www.lc.kerala.gov.in	http://www.lc.kerala.gov.in	Directorates / Commissionerates	Labour Commissionerate, Kerala	Mon, 12 Oct 2015 12:00:00 +0530
Directorate of Medical Education	http://www.dme.kerala.gov.in	http://www.dme.kerala.gov.in	Directorates / Commissionerates	Directorate of Medical Education	Fri, 27 Feb 2009 12:00:00 +0530
Commissionerate of Land revenue, Kerala	http://www.clr.kerala.gov.in	http://www.clr.kerala.gov.in	Directorates / Commissionerates	Commissionerate of Land revenue, Kerala	Fri, 27 Feb 2009 12:00:00 +0530
Drugs Control Department, Kerala	http://dc.kerala.gov.in	http://dc.kerala.gov.in	Directorates / Commissionerates	Drugs Control Department, Kerala	Fri, 26 Nov 2010 12:00:00 +0530
Directorate of Collegiate Education, Kerala	http://www.collegiateedu.kerala.gov.in	http://www.collegiateedu.kerala.gov.in	Directorates / Commissionerates	Directorate of Collegiate Education, Kerala	Mon, 03 Mar 2008 12:00:00 +0530
Archives Department, Kerala	http://www.keralastatearchives.org	http://www.keralastatearchives.org	Directorates / Commissionerates	Archives Department, Kerala	Wed, 23 Sep 2015 12:00:00 +0530
Directorate of Survey and Land Records	http://www.dslr.kerala.gov.in	http://www.dslr.kerala.gov.in	Directorates / Commissionerates	Directorate of Survey and Land Records	Fri, 27 Feb 2009 12:00:00 +0530
Archaeology Department, Kerala	http://archaeology.kerala.gov.in	http://archaeology.kerala.gov.in	Directorates / Commissionerates	Archaeology Department, Kerala	Thu, 25 Nov 2010 12:00:00 +0530
Directorate of Industries and Commerce, Kerala	http://www.dic.kerala.gov.in	http://www.dic.kerala.gov.in	Directorates / Commissionerates	Directorate of Industries and Commerce, Kerala	Tue, 30 Aug 2011 12:00:00 +0530
Energy Management Centre, Kerala	http://www.keralaenergy.gov.in	http://www.keralaenergy.gov.in	Attached Offices	Energy Management Centre, Kerala	Mon, 22 Nov 2010 12:00:00 +0530
Patent Information Centre, Kerala	http://www.patentcentre.kerala.gov.in	http://www.patentcentre.kerala.gov.in	Attached Offices	Patent Information Centre, Kerala	Fri, 26 Nov 2010 12:00:00 +0530
Agency for Non-Conventional Energy and Rural Technology (ANERT)	http://anert.gov.in	http://anert.gov.in	Autonomous / Apex Institutions	Agency for Non-Conventional Energy and Rural Technology (ANERT)	Wed, 18 Aug 2010 12:00:00 +0530
Ombudsman for Local Self - Government Institutions (LSGI), Kerala	http://www.ombudsmanlsgiker.gov.in	http://www.ombudsmanlsgiker.gov.in	Autonomous / Apex Institutions	Ombudsman for Local Self - Government Institutions (LSGI), Kerala	Tue, 23 Nov 2010 12:00:00 +0530
SCERT - State Council Educational Research and Training, Kerala	http://www.scert.kerala.gov.in	http://www.scert.kerala.gov.in	Autonomous / Apex Institutions	SCERT - State Council Educational Research and Training, Kerala	Mon, 03 Mar 2008 12:00:00 +0530
Kerala State Co-operative Textile Federation Limited	http://www.texfed.kerala.gov.in	http://www.texfed.kerala.gov.in	Societies	Kerala State Co-operative Textile Federation Limited	Mon, 12 Oct 2015 12:00:00 +0530
Kerala State AIDS Control Society	http://ksacs.kerala.gov.in	http://ksacs.kerala.gov.in	Societies	Kerala State AIDS Control Society	Mon, 23 Jun 2008 12:00:00 +0530
District Institute of Education and Training (DIET), Ernakulam	http://www.dieternakulam.org	http://www.dieternakulam.org	Academies / Institutions (Grant in Aid)	District Institute of Education and Training (DIET), Ernakulam	Wed, 25 Apr 2012 12:00:00 +0530
District Institute of Education and Training (DIET), Kozhikode, Kerala	http://www.kozhikodediet.org	http://www.kozhikodediet.org	Academies / Institutions (Grant in Aid)	District Institute of Education and Training (DIET), Kozhikode, Kerala	Wed, 25 Apr 2012 12:00:00 +0530
Institute of Land Disaster Management	http://www.ildm.kerala.gov.in	http://www.ildm.kerala.gov.in	Academies / Institutions (Grant in Aid)	Institute of Land Disaster Management	Fri, 27 Feb 2009 12:00:00 +0530
State Institute of Educational Technology (SIET), Kerala	http://www.sietkerala.gov.in	http://www.sietkerala.gov.in	Academies / Institutions (Grant in Aid)	State Institute of Educational Technology (SIET), Kerala	Sat, 27 Apr 2013 12:00:00 +0530
Kerala State Institute of Children Literature	http://www.ksicl.org	http://www.ksicl.org	Academies / Institutions (Grant in Aid)	Kerala State Institute of Children Literature	Fri, 17 Apr 2009 12:00:00 +0530
Kannur University	http://www.kannuruniversity.ac.in	http://www.kannuruniversity.ac.in	Academies / Institutions (Grant in Aid)	Kannur University	Mon, 06 Apr 2009 12:00:00 +0530
Computer Centre, University of Kerala	http://www.kucc.keralauniversity.ac.in	http://www.kucc.keralauniversity.ac.in	Academies / Institutions (Grant in Aid)	Computer Centre,	Wed, 22 Jun 2011 12:00:00 +0530
Kerala Forest Research Institute (KFRI), Thrissur, Kerala	http://www.kfri.res.in	http://www.kfri.res.in	Academies / Institutions (Grant in Aid)	Kerala Forest Research Institute (KFRI), Thrissur, Kerala	Fri, 26 Apr 2013 12:00:00 +0530
Jawaharlal Nehru Tropical Botanical Garden and Research Institute	http://www.jntbgri.in	http://www.jntbgri.in	Academies / Institutions (Grant in Aid)	Jawaharlal Nehru Tropical Botanical Garden and Research Institute	Wed, 15 Apr 2009 12:00:00 +0530
District Institute of Education and Training (DIET), Thrissur	http://www.dietthrissur.org	http://www.dietthrissur.org	Academies / Institutions (Grant in Aid)	District Institute of Education and Training (DIET), Thrissur	Wed, 25 Apr 2012 12:00:00 +0530
Malabar Cancer Centre (MCC), Thalassery	http://mcc.kerala.gov.in	http://mcc.kerala.gov.in	Academies / Institutions (Grant in Aid)	Malabar Cancer Centre (MCC), Thalassery 	Tue, 14 Jun 2011 12:00:00 +0530
Trivandrum Medical College, Kerala	http://www.tmc.kerala.gov.in	http://www.tmc.kerala.gov.in	Academies / Institutions (Grant in Aid)	Trivandrum Medical College, Kerala	Wed, 09 Feb 2011 12:00:00 +0530
Kerala State Higher Education Council	http://kshec.kerala.gov.in	http://kshec.kerala.gov.in	Academies / Institutions (Grant in Aid)	Kerala State Higher Education Council	Tue, 05 Feb 2008 12:00:00 +0530
Cochin University of Science and Technology (CUSAT)	http://www.cusat.ac.in	http://www.cusat.ac.in	Academies / Institutions (Grant in Aid)	Cochin University of Science and Technology (CUSAT)	Fri, 28 Jan 2011 12:00:00 +0530
Institute of Management in Kerala, University of Kerala, Thiruvananthapuram	http://www.imk.ac.in	http://www.imk.ac.in	Academies / Institutions (Grant in Aid)	Institute of Management in Kerala, University of Kerala, Thiruvananthapuram	Wed, 22 Jun 2011 12:00:00 +0530
University of Kerala	http://www.keralauniversity.ac.in	http://www.keralauniversity.ac.in	Academies / Institutions (Grant in Aid)	University of Kerala	Tue, 10 Jul 2001 12:00:00 +0530
Srinivasa Ramanujan Institute for Basic Sciences (SRIBS), Kerala	http://sribs.kerala.gov.in	http://sribs.kerala.gov.in	Academies / Institutions (Grant in Aid)	Srinivasa Ramanujan Institute for Basic Sciences (SRIBS), Kerala	Mon, 12 Oct 2015 12:00:00 +0530
Centre for Earth Science Studies, Thiruvananthapuram	http://cess.res.in	http://cess.res.in	Academies / Institutions (Grant in Aid)	Centre for Earth Science Studies, Thiruvananthapuram	Thu, 05 May 2011 12:00:00 +0530
ENVIS Centre on Marine and Marine Offshore Ecosystem, Department of Geology, University of Kerala, Thiruvananthapuram	http://www.dgukenvis.nic.in	http://www.dgukenvis.nic.in	Academies / Institutions (Grant in Aid)	ENVIS Centre on Marine and Marine Offshore Ecosystem, Department of Geology, University of Kerala, Thiruvananthapuram	Wed, 04 May 2011 12:00:00 +0530
Government Engineering College, Thrissur	http://gectcr.ac.in	http://gectcr.ac.in	Academies / Institutions (Grant in Aid)	Government Engineering College, Thrissur	Mon, 14 Feb 2011 12:00:00 +0530
Alappuzha T.D.Medical college, Kerala	http://tdmcalappuzha.org	http://tdmcalappuzha.org	Academies / Institutions (Grant in Aid)	Alappuzha T.D.Medical college, Kerala	Thu, 10 Feb 2011 12:00:00 +0530
Rajiv Gandhi Institute of Technology (RIT), Kottayam	http://www.rit.ac.in	http://www.rit.ac.in	Academies / Institutions (Grant in Aid)	Rajiv Gandhi Institute of Technology (RIT), Kottayam	Mon, 07 Nov 2005 12:00:00 +0530
Government Engineering College, Sreekrishnapuram, Palakkad	http://gecskp.ac.in	http://gecskp.ac.in	Academies / Institutions (Grant in Aid)	Government Engineering College, Sreekrishnapuram, Palakkad	Mon, 27 Dec 2010 12:00:00 +0530
IT @ School Project	https://www.itschool.gov.in	https://www.itschool.gov.in	Academies / Institutions (Grant in Aid)	IT @ School Project	Tue, 11 Aug 2009 12:00:00 +0530
Government Engineering College, Kozhikode	http://www.geckkd.ac.in	http://www.geckkd.ac.in	Academies / Institutions (Grant in Aid)	Government Engineering College, Kozhikode	Mon, 27 Dec 2010 12:00:00 +0530
